title,author_name,author_gender,pub_year,min_age,target_audience,character_gender,genre,character_type,source
Vamos! Let's Go to the Market,Raœl Gonzalez,male,2019,4,preschool,male,fiction,non-human,ALSC
"""Let's Get a Pup,"" Said Kate",Bob Graham,male,2001,3,preschool,female,fiction,human,ALSC
100 Pablo Picassos,Violet Lemay,female,2015,5,preschool,male,non-fiction,human,Childhood101
11 Experiments That Failed,Jenny Offill,female,2011,4,preschool,female,fiction,human,A Mighty Girl
24 Hours in Nowhere,Dusti Bowling,female,2018,8,early elementary,male,fiction,human,Sterling Publishing
26 Fairmount Avenue,Tomie dePaola,male,1999,7,early elementary,male,non-fiction,human,ALSC
3x4,Ivan Brunetti,male,2018,3,preschool,female,fiction,human,CBSD
7 x 9 = Trouble!,Claudia Mills,female,2002,7,early elementary,male,fiction,human,ALSC
90 Miles to Havana,Enrique Flores-Galbis,male,2010,9,middle elementary,male,non-fiction,human,ALSC
A Bad Case of Stripes,David Shannon,male,1998,4,preschool,female,fiction,human,Huffington Post
A Ball for Daisy,Chris Raschka,male,2011,3,preschool,female,fiction,non-human,ALSC
A Big Bed for Little Snow,Grace Lin,female,2019,4,preschool,male,fiction,non-human,ALSC
A Big Mooncake for Little Star,Grace Lin,female,2018,3,preschool,female,fiction,human,ALSC
A Book,Mordicai Gerstein,male,2009,4,preschool,female,fiction,human,ALSC
A Book of Coupons,Susie Morgenstern,female,2001,8,early elementary,male,fiction,human,ALSC
A Bottle of Happiness,Pippa Goodhart,female,2018,5,preschool,male,fiction,human,CBSD
A Boy and a Jaguar,Alan Rabinowitz,male,2014,4,preschool,male,non-fiction,human,ALSC
A Boy and His Bunny,Sean Bryan,male,2005,3,preschool,male,fiction,human,Childhood101
A Boy Called Slow,Joseph Bruchac,male,1994,4,preschool,male,non-fiction,human,ALSC
A Campfire Tail,Sarah Glenn Marsh,female,2018,4,preschool,male,fiction,non-human,Sterling Publishing
A Camping Spree With Mr. Magee,Chris Van Dusen,male,2003,4,preschool,male,fiction,human,Childhood101
A Carp for Kimiko,Virginia Kroll,female,1993,4,preschool,female,fiction,human,Childhood101
A Chair For My Mother,Vera B. Williams,female,1982,4,preschool,female,fiction,human,NYPL
A Child of Books,Oliver Jeffers and Sam Winston,male,2016,6,early elementary,female,fiction,human,My Domaine
A Color of His Own,Leo Lionni,male,1975,2,infant/toddler,male,fiction,non-human,Childhood101
A Computer Called Katherine: How Katherine Johnson Helped Put America on the Moon ,Suzanne Slade,female,2019,4,preschool,female,non-fiction,human,Barnes & Noble
A Corner of the Universe,Ann Martin,female,2002,9,middle elementary,female,fiction,human,ALSC
A Cozy Good Night,Linda Ashman,female,2017,3,preschool,male,fiction,human,Bookvine
A Crow of His Own,Megan Dowd Lambert,female,2014,4,preschool,male,fiction,non-human,Charlesbridge
A Dance Like Starlight,Kristy Dempsey,female,2014,5,preschool,female,non-fiction,human,ALSC
A Day in the Life of Marlon Bundo,Jill Twiss,female,2018,4,preschool,male,fiction,non-human,Woman's Day
A Different Pond,Bao Phi,male,2017,8,early elementary,male,fiction,human,ALSC
A Dream of Freedom: The Civil Rights Movement from 1954 to 1968,Diane McWhorter,female,2004,8,early elementary,female,non-fiction,human,ALSC
A Drop of the Sea,Ingrid Chabbert,female,2018,4,preschool,male,fiction,human,Bookvine
A Face First,Priscilla Cummings,female,2001,10,middle elementary,female,fiction,human,ALSC
A Face Like Glass,Frances Hardinge,female,2017,11,late elementary,female,fiction,human,ALSC
A Fish Out of Water,Helen Palmer Geisel,female,1961,3,preschool,male,fiction,human,Childhood101
A Frog in the Bog,Karma Wilson,female,2003,3,preschool,male,fiction,non-human,Childhood101
"A Game for Swallows: To Die, To Leave, To Return",Zeina Abirached,female,2007,12,late elementary,female,non-fiction,human,ALSC
A Gift from Abuela,Cecilia Ruiz,female,2018,4,preschool,female,fiction,human,Bookvine
A Girl Called Genghis Khan,Michelle Lord,female,2019,5,preschool,female,non-fiction,human,Sterling Publishing
A Girl Named Distaster,Nancy Farmer,female,1996,8,early elementary,female,fiction,human,ALSC
A Graphic Biography of Darwin,Eugene Byrne,male,2013,12,late elementary,male,non-fiction,human,Brain Pickings
A Hat for Minerva Louise,Janet Morgan Stoeke,female,1994,3,preschool,female,fiction,non-human,ALSC
A Hat Full of Sky,Terry Pratchett,male,2004,12,late elementary,female,fiction,human,ALSC
A Home for Dakota,Jan Zita Grover,female,2008,3,preschool,female,fiction,non-human,CBSD
A House for Hermit Crab,Eric Carle,male,1987,5,preschool,male,fiction,non-human,Childhood101
"A Hungry Lion; or, A Dwindling Assortment of Animals",Lucy Ruth Cummins,female,2016,4,preschool,male,fiction,non-human,Charlesbridge
A Journey to the Mother of the Sea,Maliaraq Vebaek,female,2019,9,middle elementary,female,fiction,human,CBSD
A Letter for Leo,Sergio Ruzzier,male,2014,4,preschool,male,fiction,non-human,Bookvine
A Little Chicken,Tammi Sauer,female,2019,4,preschool,female,fiction,non-human,Sterling Publishing
